transaction_id,customer_id,merchant_id,amount,mcc,channel,device_id,ip_address,country,transaction_timestamp,is_fraud,avg_customer_amount,tx_last_7d,tx_last_1h,tx_last_5m,merchant_risk_score,chargeback_rate,device_change_30d,device_risk_score,foreign_tx
75,14,115,890,5999,ECOM,215,10.0.0.14,BRA,1/1/2024 20:20,1,788,4,1,1,0.75,0.16,3,0.45,1
95,14,105,1100,5732,ECOM,205,10.0.0.14,USA,1/1/2024 22:00,1,788,5,1,1,0.5,0.1,1,0.25,0
16,15,101,33,5411,POS,216,10.0.0.15,USA,1/1/2024 15:25,0,61.4,1,1,1,0.1,0.02,1,0.23,0
36,15,106,72,5814,POS,206,10.0.0.15,USA,1/1/2024 17:05,0,61.4,2,1,1,0.6,0.12,0,0.12,0
56,15,111,95,5812,POS,226,10.0.0.15,USA,1/1/2024 18:45,0,61.4,3,1,1,0.35,0.06,1,0.21,0
76,15,101,34,5411,POS,216,10.0.0.15,USA,1/1/2024 20:25,0,61.4,4,1,1,0.1,0.02,1,0.23,0
96,15,106,73,5814,POS,206,10.0.0.15,USA,1/1/2024 22:05,0,61.4,5,1,1,0.6,0.12,0,0.12,0
17,16,102,120,5812,ECOM,217,10.0.0.16,USA,1/1/2024 15:30,0,268,1,1,1,0.2,0.03,0,0.11,0
37,16,107,330,5999,ECOM,207,10.0.0.16,CAN,1/1/2024 17:10,1,268,2,1,1,0.7,0.15,3,0.4,1
57,16,112,410,5999,ECOM,227,10.0.0.16,USA,1/1/2024 18:50,1,268,3,1,1,0.45,0.08,2,0.32,0
77,16,102,135,5812,ECOM,217,10.0.0.16,USA,1/1/2024 20:30,0,268,4,1,1,0.2,0.03,0,0.11,0
97,16,107,345,5999,ECOM,207,10.0.0.16,CAN,1/1/2024 22:10,1,268,5,1,1,0.7,0.15,3,0.4,1
18,17,103,450,5999,POS,218,10.0.0.17,USA,1/1/2024 15:35,1,202.4,1,1,1,0.3,0.05,2,0.31,0
38,17,108,41,5411,POS,208,10.0.0.17,USA,1/1/2024 17:15,0,202.4,2,1,1,0.8,0.18,2,0.35,0
58,17,113,22,5411,POS,228,10.0.0.17,USA,1/1/2024 18:55,0,202.4,3,1,1,0.55,0.11,3,0.44,0
78,17,103,460,5999,POS,218,10.0.0.17,USA,1/1/2024 20:35,1,202.4,4,1,1,0.3,0.05,2,0.31,0
98,17,108,39,5411,POS,208,10.0.0.17,USA,1/1/2024 22:15,0,202.4,5,1,1,0.8,0.18,2,0.35,0
19,18,104,15,5411,POS,219,10.0.0.18,USA,1/1/2024 15:40,0,691.6,1,1,1,0.4,0.07,3,0.42,0
39,18,109,1550,5732,ECOM,209,10.0.0.18,MEX,1/1/2024 17:20,1,691.6,2,1,1,0.9,0.2,1,0.22,1
59,18,114,290,5732,ECOM,229,10.0.0.18,USA,1/1/2024 19:00,0,691.6,3,1,1,0.65,0.13,0,0.16,0
79,18,104,13,5411,POS,219,10.0.0.18,USA,1/1/2024 20:40,0,691.6,4,1,1,0.4,0.07,3,0.42,0
99,18,109,1590,5732,ECOM,209,10.0.0.18,MEX,1/1/2024 22:20,1,691.6,5,1,1,0.9,0.2,1,0.22,1
20,19,105,980,5732,ECOM,220,10.0.0.19,USA,1/1/2024 15:45,1,590.2,1,1,1,0.5,0.1,1,0.26,0
40,19,110,25,5812,POS,210,10.0.0.19,USA,1/1/2024 17:25,0,590.2,2,1,1,0.25,0.04,0,0.18,0
60,19,115,920,5999,ECOM,230,10.0.0.19,BRA,1/1/2024 19:05,1,590.2,3,1,1,0.75,0.16,1,0.24,1
80,19,105,1000,5732,ECOM,220,10.0.0.19,USA,1/1/2024 20:45,1,590.2,4,1,1,0.5,0.1,1,0.26,0
100,19,110,26,5812,POS,210,10.0.0.19,USA,1/1/2024 22:25,0,590.2,5,1,1,0.25,0.04,0,0.18,0
21,20,106,45,5411,POS,221,10.0.0.20,USA,1/1/2024 15:50,0,57,1,1,1,0.6,0.12,0,0.17,0
41,20,111,78,5411,POS,211,10.0.0.20,USA,1/1/2024 17:30,0,57,2,1,1,0.35,0.06,4,0.5,0
61,20,101,38,5411,POS,201,10.0.0.20,USA,1/1/2024 19:10,0,57,3,1,1,0.1,0.02,0,0.1,0
81,20,106,67,5814,POS,221,10.0.0.20,USA,1/1/2024 20:50,0,57,4,1,1,0.6,0.12,0,0.17,0
